// X Y Z radius R G B intensity
// Bridge lights
17,24016 11,64294 -0,4680311 40 42 50 178 1
48,49356 -11,1239 69,48836 40 42 50 178 1
36,80712 -1,196719 31,25387 40 42 50 178 1
11,70241 9,44815 -28,29813 40 42 50 178 1
5,73803 15,01358 -58,2723 40 42 50 178 1
9,551343 14,72897 -104,8406 40 69 29 226 1
16,56037 20,10438 -145,3868 40 69 29 226 1
22,95865 24,73183 -187,3709 40 69 29 226 1
36,03569 19,84447 -230,7197 40 144 104 170 1
53,53228 22,87519 -269,9966 40 144 104 170 1
69,58755 22,377 -306,0375 40 144 104 170 1
86,51099 28,23879 -344,0269 40 182 83 88 1
106,2507 14,05678 -376,5732 40 182 83 88 1
124,9721 22,91311 -413,3853 40 182 83 88 1
161,3608 28,11177 -452,9552 40 170 118 73 1
191,8935 36,25013 -480,9106 40 170 118 73 1
217,5377 43,03212 -503,9404 40 170 118 73 1
238,5269 33,94796 -519,7183 40 170 118 73 1
271,0263 32,08207 -546,6501 40 174 151 231 1
316,6284 39,65812 -562,3199 40 174 151 231 1
372,8847 43,2953 -554,9055 40 174 151 231 1
416,4855 42,99086 -536,6608 40 147 113 99 1
450,5662 44,56827 -515,6768 40 147 113 99 1
479,0186 37,55423 -497,4207 40 147 113 99 1
515,7055 36,06293 -469,8551 40 158 154 142 1
548,4741 44,01505 -430,522 40 158 154 142 1
571,7871 45,70293 -395,6755 40 143 138 134 1
591,6674 35,12793 -365,9583 37 143 138 134 1
612,4723 36,38044 -325,3055 37 69 61 69 1
620,9459 45,50246 -282,0599 33 31 38 31 1
629,7759 27,84316 -300,5814 13 255 67 86 0,4999999
614,8007 26,88302 -299,6799 13 255 67 86 0,4999999
603,8349 26,88302 -298,8145 13 255 67 86 0,4999999
621,7789 26,88302 -300,2307 13 255 67 86 0,4999999
607,5985 28,52988 -248,7751 13 255 67 86 0,4999999
617,5717 28,52988 -249,5104 13 255 67 86 0,4999999
630,5367 28,52988 -250,4663 13 255 67 86 0,4999999
634,4826 34,86819 -249,3035 13 255 67 86 0,4999999
606,5783 34,86819 -246,9857 13 255 67 86 0,4999999
640,2521 33,64078 -200,0956 13 255 67 86 0,4999999
627,1901 34,54087 -198,8407 13 255 67 86 0,4999999
611,7706 36,34106 -198,8634 13 255 67 86 0,4999999
615,8572 28,72498 -195,4892 13 255 67 86 0,4999999
628,7968 28,72498 -198,5516 13 255 67 86 0,4999999
636,8727 34,96322 -111,0358 23 36 173 175 0,4999999
641,2351 40,8145 -80,49527 23 36 173 175 0,4999999
648,0985 41,34132 -46,26485 23 36 173 175 0,4999999
654,361 40,60418 -10,96285 23 36 173 175 0,4999999
654,6886 39,86703 25,22207 14 36 173 175 0,4999999
672,493 39,86703 22,57324 14 36 173 175 0,4999999
670,4598 40,24365 56,48089 14 36 173 175 0,4999999
688,0455 38,02036 86,3438 14 36 173 175 0,4999999
717,173 35,98242 112,2367 14 36 173 175 0,4999999
639,9182 42,40575 -78,85367 23 43 158 134 0,8750001
654,1841 37,59503 -21,64911 23 43 158 134 0,8750001
671,8344 40,32889 37,70594 23 43 158 134 0,8750001
710,5889 38,06951 89,73507 23 43 158 134 0,8750001
767,0851 45,92819 142,4718 40 20 132 72 1
839,9337 58,84132 171,3175 40 20 132 72 0,6499999
930,3825 60,4093 155,2803 40 20 132 72 0,6499999
1013,514 71,34586 94,4584 40 20 132 72 0,6499999
1061,151 62,08789 -20,40879 40 20 132 72 0,6499999
1051,791 60,66592 34,18578 26,8001 84 216 11 0,7149999
982,3905 55,61106 137,1849 26,8001 84 216 11 0,7149999
887,1921 46,59164 182,3207 26,8001 84 216 11 0,7149999
799,1393 42,82017 170,8815 26,8001 84 216 11 0,7149999
1066,183 49,58773 -76,37188 26,8001 84 216 11 0,7149999
1036,178 55,06992 63,31951 25,1001 122 255 149 0,8349997
992,2253 50,00031 115,9048 25,1001 122 255 149 0,8349997
963,272 45,16737 124,4097 25,1001 122 255 149 0,8349997
877,395 40,18959 167,0406 25,1001 122 255 149 0,8349997
1064,267 41,38691 -112,4761 38,1001 122 255 149 0,8349997
